Date:SaaS-Centric:Generic:IaaS-Centric
2013-06-28:0,0:0,0:0,0
2013-07-01:0,0:0,0:0,0
2013-07-02:0,0:0,0:0,0
2013-07-02:0,0:0,0:0,0
2013-07-02:0,0:0,0:0,0
2013-07-02:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-03:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-04:0,0:0,0:0,0
2013-07-05:0,0:0,0:0,0
2013-07-05:0,0:0,0:0,0
2013-07-05:0,0:0,0:0,0
2013-07-05:0,0:0,0:0,0
2013-07-05:0,0:0,0:0,0
2013-07-07:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-08:0,0:0,0:0,0
2013-07-09:0,0:0,0:0,0
2013-07-09:0,0:0,0:0,0
2013-07-09:0,0:0,0:0,0
2013-07-09:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-10:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-11:0,0:0,0:0,0
2013-07-12:0,0:0,0:0,0
