Date:Apex:Clojure:Cobol:Dotnet:Erlang:Go:Groovy:Haskell:Java:Lua:Node:Perl:Php:Python:Ruby:Scala
2013-06-28:1,5151515151515151:1,5151515151515151:1,5151515151515151:0,0:4,545454545454546:4,545454545454546:1,5151515151515151:0,0:59,09090909090909:1,5151515151515151:36,36363636363637:9,090909090909092:59,09090909090909:40,909090909090914:40,909090909090914:6,0606060606060606
2013-07-01:1,5151515151515151:1,5151515151515151:1,5151515151515151:0,0:4,545454545454546:4,545454545454546:1,5151515151515151:0,0:59,09090909090909:1,5151515151515151:36,36363636363637:9,090909090909092:59,09090909090909:40,909090909090914:40,909090909090914:6,0606060606060606
2013-07-02:6,153846153846154:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:66,15384615384615:1,5384615384615385:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154
2013-07-02:1,5384615384615385:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:60,0:1,5384615384615385:36,92307692307693:7,6923076923076925:60,0:41,53846153846154:41,53846153846154:6,153846153846154
2013-07-02:1,5384615384615385:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:63,07692307692307:1,5384615384615385:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154
2013-07-02:1,5384615384615385:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:63,07692307692307:1,5384615384615385:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154
2013-07-03:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:64,0625:1,5625:46,875:7,8125:60,9375:48,4375:51,5625:6,25
2013-07-03:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:64,0625:1,5625:46,875:7,8125:60,9375:48,4375:51,5625:6,25
2013-07-03:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:64,0625:1,5625:46,875:7,8125:60,9375:46,875:51,5625:6,25
2013-07-03:1,5384615384615385:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:63,07692307692307:1,5384615384615385:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154
2013-07-03:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:64,0625:1,5625:46,875:7,8125:60,9375:48,4375:51,5625:6,25
2013-07-03:1,5384615384615385:1,5384615384615385:1,5384615384615385:0,0:4,615384615384616:4,615384615384616:1,5384615384615385:0,0:63,07692307692307:1,5384615384615385:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-04:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:64,0625:1,5625:46,875:7,8125:60,9375:48,4375:51,5625:6,25
2013-07-05:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-05:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-05:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-05:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-05:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-07:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:37,5:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
2013-07-08:1,5625:1,5625:1,5625:0,0:4,6875:4,6875:1,5625:0,0:60,9375:1,5625:39,0625:7,8125:59,375:42,1875:42,1875:6,25
