2013-06-28:0,0
2013-07-01:0,0
2013-07-02:0,0
2013-07-02:0,0
2013-07-02:0,0
2013-07-02:0,0
2013-07-03:0,0
2013-07-03:0,0
2013-07-03:0,0
2013-07-03:0,0
2013-07-03:0,0
2013-07-03:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-04:0,0
2013-07-05:0,0
2013-07-05:0,0
2013-07-05:0,0
2013-07-05:0,0
2013-07-05:0,0
2013-07-07:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-08:0,0
2013-07-09:0,0
2013-07-09:0,0
2013-07-09:0,0
2013-07-09:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-10:0,0
2013-07-11:0,0
2013-07-11:0,0
2013-07-11:0,0
2013-07-11:0,0
2013-07-11:0,0
2013-07-11:0,0
2013-07-12:0,0
2013-07-12:0,0
2013-07-12:0,0
2013-07-12:0,0
2013-07-12:0,0
2013-07-12:0,0
2013-07-15:0,0
2013-07-15:0,0
2013-07-15:0,0
2013-07-15:0,0
2013-07-17:0,0
2013-07-17:0,0
2013-07-17:0,0
2013-07-17:0,0
2013-07-17:0,0
2013-07-19:0,0
2013-07-19:0,0
2013-07-19:0,0
2013-07-19:0,0
2013-07-22:0,0
2013-07-22:0,0
2013-07-22:0,0
2013-07-24:0,0
2013-07-24:0,0
2013-07-24:0,0
2013-07-25:0,0
2013-07-25:0,0
2013-07-26:0,0
2013-07-26:0,0
2013-07-26:0,0
2013-07-29:0,0
2013-07-29:0,0
2013-07-29:0,0
2013-07-30:0,0
2013-08-06:0,0
2013-08-06:0,0
2013-08-06:0,0
2013-08-07:0,0
2013-08-08:0,0
2013-08-08:0,0
2013-08-13:0,0
2013-08-14:0,0
2013-08-14:0,0
2013-08-14:0,0
2013-08-21:0,0
2013-09-03:0,0
2013-09-03:0,0
2013-09-04:0,0
