Date:Apex:Clojure:Cobol:Dotnet:Erlang:Go:Groovy:Haskell:Java:Lua:Node:Perl:Php:Python:Ruby:Scala:Others
2013-06-28:18,181818181818183:0,0:0,0:0,0:0,0:4,545454545454546:0,0:0,0:59,09090909090909:0,0:36,36363636363637:9,090909090909092:59,09090909090909:40,909090909090914:40,909090909090914:6,0606060606060606:0,0
2013-07-01:18,181818181818183:0,0:0,0:0,0:0,0:4,545454545454546:0,0:0,0:59,09090909090909:0,0:36,36363636363637:9,090909090909092:59,09090909090909:40,909090909090914:40,909090909090914:6,0606060606060606:0,0
2013-07-02:6,153846153846154:0,0:0,0:0,0:0,0:0,0:0,0:0,0:66,15384615384615:0,0:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154:0,0
2013-07-02:18,461538461538463:0,0:0,0:0,0:0,0:4,615384615384616:0,0:0,0:60,0:0,0:36,92307692307693:7,6923076923076925:60,0:41,53846153846154:41,53846153846154:6,153846153846154:0,0
2013-07-02:18,461538461538463:0,0:0,0:0,0:0,0:4,615384615384616:0,0:0,0:63,07692307692307:0,0:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154:0,0
2013-07-02:18,461538461538463:0,0:0,0:0,0:0,0:4,615384615384616:0,0:0,0:63,07692307692307:0,0:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154:0,0
2013-07-03:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:64,0625:0,0:46,875:7,8125:60,9375:48,4375:51,5625:6,25:0,0
2013-07-03:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:64,0625:0,0:46,875:7,8125:60,9375:48,4375:51,5625:6,25:0,0
2013-07-03:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:64,0625:0,0:46,875:7,8125:60,9375:46,875:51,5625:6,25:0,0
2013-07-03:18,461538461538463:0,0:0,0:0,0:0,0:4,615384615384616:0,0:0,0:63,07692307692307:0,0:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154:0,0
2013-07-03:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:64,0625:0,0:46,875:7,8125:60,9375:48,4375:51,5625:6,25:0,0
2013-07-03:18,461538461538463:0,0:0,0:0,0:0,0:4,615384615384616:0,0:0,0:63,07692307692307:0,0:46,15384615384615:7,6923076923076925:61,53846153846154:46,15384615384615:50,76923076923077:6,153846153846154:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-04:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:64,0625:0,0:46,875:7,8125:60,9375:48,4375:51,5625:6,25:0,0
2013-07-05:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-05:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-05:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-05:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-05:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-07:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:37,5:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-08:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:39,0625:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-08:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:39,0625:7,8125:59,375:42,1875:42,1875:6,25:0,0
2013-07-08:18,75:0,0:0,0:0,0:0,0:4,6875:0,0:0,0:60,9375:0,0:39,0625:7,8125:59,375:42,1875:42,1875:6,25:0,0
